iter	Passed	Remaining
0	144	144317
1	146	73336
2	149	49658
3	151	37847
4	154	30747
5	157	26025
6	159	22645
7	162	20107
8	164	18141
9	167	16548
10	169	15266
11	172	14188
12	174	13270
13	177	12494
14	179	11817
15	182	11215
16	184	10689
17	187	10232
18	190	9812
19	192	9435
20	195	9096
21	197	8781
22	199	8489
23	202	8220
24	204	7974
25	206	7748
26	209	7535
27	211	7337
28	213	7148
29	216	6985
30	218	6824
31	220	6673
32	222	6532
33	225	6399
34	227	6269
35	229	6146
36	231	6032
37	233	5922
38	236	5819
39	238	5720
40	241	5637
41	243	5551
42	245	5468
43	248	5388
44	250	5313
45	252	5241
46	255	5172
47	257	5107
48	259	5043
49	262	4981
50	264	4921
51	266	4863
52	269	4809
53	271	4763
54	274	4711
55	276	4658
56	278	4609
57	280	4557
58	282	4508
59	284	4459
60	286	4416
61	289	4375
62	291	4335
63	293	4296
64	296	4259
65	298	4218
66	300	4179
67	302	4139
68	303	4101
69	305	4065
70	307	4029
71	310	3996
72	312	3972
73	316	3957
74	319	3934
75	321	3908
76	323	3883
77	326	3858
78	328	3832
79	331	3807
80	333	3779
81	335	3751
82	336	3713
83	338	3692
84	340	3669
85	343	3649
86	345	3628
87	347	3605
88	350	3583
89	352	3561
90	354	3538
91	356	3516
92	358	3497
93	360	3477
94	362	3457
95	365	3437
96	367	3418
97	369	3398
98	370	3370
99	372	3351
100	374	3332
101	376	3315
102	378	3298
103	380	3280
104	382	3263
105	384	3246
106	387	3229
107	388	3212
108	390	3194
109	392	3178
110	394	3162
111	396	3146
112	398	3129
113	400	3113
114	402	3098
115	404	3079
116	406	3064
117	407	3048
118	409	3028
119	410	3013
120	412	2998
121	414	2984
122	416	2970
123	418	2956
124	420	2942
125	422	2930
126	424	2916
127	426	2904
128	428	2891
129	430	2879
130	432	2867
131	434	2855
132	436	2844
133	438	2832
134	440	2821
135	442	2809
136	444	2798
137	446	2787
138	448	2775
139	450	2764
140	452	2753
141	453	2742
142	454	2725
143	456	2714
144	458	2705
145	460	2691
146	461	2680
147	463	2669
148	465	2659
149	467	2648
150	469	2638
151	471	2627
152	472	2617
153	474	2607
154	476	2597
155	478	2588
156	480	2579
157	482	2570
158	484	2562
159	486	2553
160	487	2541
161	489	2532
162	491	2524
163	493	2515
164	495	2508
165	497	2500
166	499	2493
167	502	2486
168	504	2480
169	506	2473
170	508	2467
171	511	2460
172	513	2453
173	515	2446
174	517	2438
175	519	2431
176	521	2423
177	523	2415
178	524	2407
179	526	2400
180	528	2393
181	531	2386
182	533	2379
183	534	2372
184	536	2365
185	538	2358
186	540	2351
187	542	2344
188	544	2338
189	547	2331
190	548	2325
191	551	2319
192	553	2314
193	555	2308
194	557	2303
195	560	2298
196	562	2292
197	564	2287
198	566	2282
199	569	2276
200	571	2271
201	573	2266
202	575	2261
203	578	2256
204	580	2250
205	582	2244
206	584	2239
207	586	2234
208	589	2230
209	591	2226
210	593	2221
211	596	2216
212	598	2211
213	600	2205
214	602	2201
215	605	2196
216	607	2191
217	609	2186
218	611	2181
219	613	2176
220	616	2171
221	618	2166
222	620	2161
223	622	2156
224	624	2151
225	626	2146
226	628	2141
227	631	2136
228	633	2132
229	635	2126
230	637	2122
231	639	2117
232	641	2112
233	643	2108
234	646	2103
235	648	2098
236	650	2093
237	652	2088
238	654	2084
239	656	2079
240	658	2074
241	660	2070
242	662	2065
243	665	2060
244	667	2056
245	669	2051
246	671	2047
247	673	2042
248	675	2038
249	677	2033
250	679	2028
251	681	2023
252	684	2019
253	686	2015
254	688	2012
255	692	2011
256	695	2009
257	697	2005
258	699	2001
259	701	1996
260	703	1992
261	705	1988
262	707	1983
263	710	1979
264	712	1975
265	714	1971
266	716	1966
267	718	1962
268	720	1957
269	722	1952
270	724	1949
271	726	1944
272	728	1941
273	731	1937
274	733	1934
275	735	1930
276	738	1926
277	740	1922
278	742	1918
279	744	1914
280	746	1909
281	748	1905
282	750	1900
283	752	1897
284	754	1892
285	756	1888
286	758	1884
287	760	1880
288	762	1876
289	764	1872
290	766	1868
291	768	1864
292	771	1860
293	772	1856
294	774	1852
295	776	1847
296	778	1843
297	781	1840
298	783	1836
299	785	1832
300	787	1828
301	789	1824
302	791	1821
303	793	1817
304	795	1813
305	797	1809
306	799	1805
307	801	1801
308	804	1798
309	806	1794
310	808	1790
311	810	1786
312	812	1782
313	814	1779
314	816	1775
315	818	1771
316	820	1767
317	822	1763
318	824	1759
319	826	1756
320	828	1752
321	830	1749
322	833	1746
323	835	1742
324	837	1738
325	839	1735
326	841	1731
327	843	1727
328	845	1723
329	847	1719
330	849	1716
331	851	1712
332	853	1708
333	855	1705
334	857	1701
335	859	1697
336	861	1694
337	863	1690
338	865	1687
339	867	1683
340	869	1679
341	871	1676
342	873	1672
343	875	1668
344	877	1665
345	879	1661
346	881	1658
347	883	1655
348	885	1651
349	887	1647
350	889	1644
351	891	1640
352	893	1637
353	895	1633
354	897	1630
355	899	1626
356	901	1623
357	903	1620
358	905	1616
359	907	1613
360	910	1610
361	912	1607
362	914	1604
363	916	1600
364	918	1597
365	920	1594
366	922	1590
367	924	1587
368	926	1583
369	928	1580
370	930	1577
371	932	1573
372	934	1570
373	936	1567
374	938	1563
375	940	1560
376	942	1556
377	944	1553
378	946	1550
379	948	1547
380	950	1543
381	952	1540
382	954	1537
383	956	1534
384	958	1531
385	961	1529
386	963	1526
387	965	1523
388	967	1519
389	969	1516
390	971	1513
391	973	1510
392	976	1507
393	978	1504
394	980	1501
395	982	1498
396	984	1495
397	986	1492
398	988	1489
399	990	1486
400	993	1483
401	995	1480
402	997	1477
403	999	1474
404	1001	1471
405	1004	1469
406	1006	1466
407	1008	1463
408	1010	1460
409	1013	1457
410	1015	1454
411	1016	1451
412	1019	1448
413	1021	1445
414	1023	1442
415	1025	1439
416	1027	1436
417	1029	1433
418	1031	1430
419	1033	1427
420	1035	1424
421	1037	1421
422	1039	1417
423	1041	1414
424	1043	1411
425	1045	1408
426	1047	1405
427	1049	1402
428	1051	1399
429	1053	1396
430	1055	1393
431	1057	1390
432	1059	1387
433	1061	1384
434	1063	1381
435	1066	1379
436	1069	1377
437	1071	1375
438	1073	1372
439	1075	1369
440	1077	1366
441	1079	1363
442	1081	1360
443	1084	1357
444	1086	1354
445	1088	1351
446	1090	1348
447	1092	1345
448	1094	1343
449	1096	1340
450	1098	1337
451	1100	1334
452	1102	1331
453	1104	1328
454	1106	1325
455	1108	1322
456	1110	1319
457	1112	1316
458	1114	1313
459	1117	1311
460	1119	1308
461	1121	1305
462	1125	1305
463	1127	1303
464	1130	1300
465	1132	1297
466	1134	1294
467	1136	1291
468	1138	1289
469	1141	1286
470	1143	1284
471	1145	1281
472	1147	1278
473	1149	1276
474	1152	1273
475	1154	1270
476	1156	1267
477	1158	1265
478	1160	1262
479	1163	1260
480	1165	1257
481	1167	1254
482	1169	1251
483	1172	1249
484	1174	1247
485	1176	1244
486	1178	1241
487	1180	1238
488	1182	1235
489	1184	1233
490	1187	1230
491	1189	1228
492	1192	1225
493	1194	1223
494	1196	1220
495	1198	1217
496	1200	1215
497	1203	1213
498	1205	1210
499	1207	1207
500	1209	1204
501	1211	1201
502	1213	1199
503	1215	1196
504	1218	1194
505	1220	1191
506	1222	1189
507	1225	1186
508	1227	1183
509	1229	1180
510	1231	1178
511	1233	1176
512	1236	1173
513	1238	1170
514	1240	1168
515	1242	1165
516	1244	1162
517	1246	1159
518	1250	1159
519	1253	1156
520	1255	1154
521	1257	1151
522	1259	1148
523	1261	1146
524	1264	1143
525	1266	1141
526	1268	1138
527	1270	1135
528	1272	1133
529	1274	1130
530	1276	1127
531	1279	1125
532	1281	1122
533	1283	1120
534	1285	1117
535	1287	1114
536	1289	1112
537	1292	1109
538	1294	1107
539	1296	1104
540	1298	1101
541	1300	1099
542	1302	1096
543	1305	1093
544	1307	1091
545	1309	1089
546	1312	1086
547	1314	1083
548	1316	1081
549	1318	1078
550	1320	1075
551	1322	1073
552	1324	1070
553	1327	1068
554	1329	1065
555	1331	1063
556	1333	1060
557	1335	1057
558	1337	1055
559	1340	1052
560	1342	1050
561	1344	1047
562	1346	1044
563	1348	1042
564	1350	1039
565	1352	1036
566	1354	1034
567	1357	1032
568	1359	1029
569	1361	1026
570	1363	1024
571	1365	1021
572	1367	1018
573	1369	1016
574	1371	1013
575	1373	1011
576	1375	1008
577	1378	1006
578	1380	1003
579	1382	1000
580	1384	998
581	1386	995
582	1388	993
583	1390	990
584	1392	987
585	1394	985
586	1396	982
587	1398	980
588	1401	977
589	1403	975
590	1405	972
591	1407	970
592	1409	967
593	1411	964
594	1413	962
595	1416	959
596	1418	957
597	1420	954
598	1422	952
599	1424	949
600	1427	947
601	1429	944
602	1431	942
603	1433	940
604	1436	937
605	1438	934
606	1440	932
607	1442	929
608	1444	927
609	1447	925
610	1450	923
611	1452	921
612	1454	918
613	1457	916
614	1459	913
615	1462	911
616	1464	909
617	1466	906
618	1468	904
619	1470	901
620	1472	898
621	1475	896
622	1477	894
623	1479	891
624	1481	888
625	1483	886
626	1485	883
627	1487	881
628	1489	878
629	1492	876
630	1494	873
631	1496	871
632	1498	868
633	1500	866
634	1502	863
635	1505	861
636	1507	859
637	1509	856
638	1511	854
639	1514	851
640	1516	849
641	1518	846
642	1520	844
643	1522	841
644	1525	839
645	1527	836
646	1529	834
647	1531	831
648	1533	829
649	1535	826
650	1538	824
651	1540	822
652	1542	819
653	1544	817
654	1546	814
655	1548	812
656	1551	809
657	1553	807
658	1555	805
659	1558	802
660	1560	800
661	1562	797
662	1564	795
663	1566	792
664	1571	791
665	1573	788
666	1575	786
667	1577	784
668	1579	781
669	1582	779
670	1586	777
671	1589	775
672	1591	773
673	1593	770
674	1596	768
675	1598	766
676	1600	763
677	1603	761
678	1605	759
679	1607	756
680	1610	754
681	1612	752
682	1615	749
683	1617	747
684	1619	744
685	1622	742
686	1624	740
687	1626	737
688	1629	735
689	1631	732
690	1633	730
691	1636	728
692	1638	725
693	1640	723
694	1642	720
695	1645	718
696	1647	716
697	1650	714
698	1652	711
699	1654	709
700	1656	706
701	1658	704
702	1661	701
703	1663	699
704	1666	697
705	1668	694
706	1670	692
707	1672	689
708	1674	687
709	1676	684
710	1679	682
711	1681	680
712	1683	677
713	1685	675
714	1687	672
715	1689	670
716	1692	667
717	1694	665
718	1696	662
719	1698	660
720	1700	657
721	1702	655
722	1704	653
723	1706	650
724	1709	648
725	1711	645
726	1713	643
727	1715	641
728	1718	638
729	1720	636
730	1722	634
731	1725	631
732	1727	629
733	1729	626
734	1731	624
735	1733	621
736	1735	619
737	1738	617
738	1740	614
739	1742	612
740	1744	609
741	1746	607
742	1748	604
743	1750	602
744	1753	600
745	1755	597
746	1757	595
747	1759	592
748	1762	590
749	1764	588
750	1766	585
751	1768	583
752	1771	580
753	1773	578
754	1775	576
755	1777	573
756	1780	571
757	1782	569
758	1784	566
759	1787	564
760	1789	561
761	1791	559
762	1793	557
763	1796	554
764	1798	552
765	1800	550
766	1803	547
767	1805	545
768	1807	543
769	1810	540
770	1813	538
771	1816	536
772	1818	534
773	1820	531
774	1822	529
775	1825	526
776	1827	524
777	1829	522
778	1831	519
779	1833	517
780	1836	514
781	1838	512
782	1840	510
783	1843	507
784	1845	505
785	1847	503
786	1849	500
787	1852	498
788	1854	495
789	1856	493
790	1859	491
791	1861	488
792	1863	486
793	1866	484
794	1868	481
795	1870	479
796	1872	476
797	1875	474
798	1877	472
799	1879	469
800	1882	467
801	1884	465
802	1887	462
803	1889	460
804	1891	458
805	1894	455
806	1896	453
807	1898	451
808	1900	448
809	1903	446
810	1905	444
811	1907	441
812	1910	439
813	1912	436
814	1914	434
815	1916	432
816	1919	429
817	1921	427
818	1923	425
819	1926	422
820	1928	420
821	1930	418
822	1932	415
823	1935	413
824	1938	411
825	1940	408
826	1942	406
827	1944	404
828	1951	402
829	1954	400
830	1956	397
831	1959	395
832	1961	393
833	1963	390
834	1965	388
835	1968	386
836	1970	383
837	1972	381
838	1974	378
839	1976	376
840	1978	374
841	1980	371
842	1982	369
843	1985	366
844	1987	364
845	1989	362
846	1991	359
847	1993	357
848	1996	355
849	1998	352
850	2000	350
851	2003	347
852	2005	345
853	2007	343
854	2009	340
855	2012	338
856	2014	336
857	2016	333
858	2019	331
859	2021	329
860	2023	326
861	2025	324
862	2027	321
863	2029	319
864	2031	317
865	2034	314
866	2036	312
867	2038	310
868	2040	307
869	2043	305
870	2045	302
871	2048	300
872	2050	298
873	2053	295
874	2055	293
875	2057	291
876	2059	288
877	2061	286
878	2064	284
879	2066	281
880	2069	279
881	2071	277
882	2074	274
883	2076	272
884	2078	270
885	2080	267
886	2083	265
887	2086	263
888	2088	260
889	2090	258
890	2092	256
891	2095	253
892	2097	251
893	2099	248
894	2102	246
895	2104	244
896	2106	241
897	2108	239
898	2110	237
899	2113	234
900	2115	232
901	2117	230
902	2120	227
903	2122	225
904	2124	223
905	2127	220
906	2129	218
907	2131	215
908	2134	213
909	2136	211
910	2138	208
911	2140	206
912	2142	204
913	2145	201
914	2148	199
915	2150	197
916	2152	194
917	2154	192
918	2156	190
919	2158	187
920	2160	185
921	2162	182
922	2165	180
923	2167	178
924	2169	175
925	2171	173
926	2174	171
927	2176	168
928	2179	166
929	2182	164
930	2185	161
931	2187	159
932	2189	157
933	2191	154
934	2193	152
935	2196	150
936	2198	147
937	2200	145
938	2202	143
939	2204	140
940	2207	138
941	2209	136
942	2211	133
943	2214	131
944	2216	128
945	2218	126
946	2220	124
947	2223	121
948	2225	119
949	2227	117
950	2229	114
951	2231	112
952	2233	110
953	2235	107
954	2238	105
955	2240	103
956	2242	100
957	2245	98
958	2247	96
959	2249	93
960	2252	91
961	2254	89
962	2256	86
963	2258	84
964	2260	81
965	2262	79
966	2264	77
967	2266	74
968	2268	72
969	2270	70
970	2272	67
971	2274	65
972	2276	63
973	2278	60
974	2281	58
975	2283	56
976	2285	53
977	2287	51
978	2289	49
979	2291	46
980	2293	44
981	2296	42
982	2299	39
983	2301	37
984	2304	35
985	2307	32
986	2311	30
987	2315	28
988	2318	25
989	2320	23
990	2323	21
991	2325	18
992	2327	16
993	2330	14
994	2333	11
995	2335	9
996	2338	7
997	2340	4
998	2342	2
999	2345	0
